State,Abbreviation, Population ,State Policy Prevention Mandates Score, Trump approval , Trump disapproval , People who don't care about Trump , Number of people who are Republican/lean ,Number of people who are Democrat/lean,Number of people who are Neither Democrat or Republican,Number of Conservatives,Number of Moderates,Number of Liberals,Number of people who have no political ideology,Economic Confidence Index,Number of people who are very religious,Number of people who Moderatly religious,Number of people who are Nonreligious,% Uninsured,Number of people who are uninsured,Number of people who are Insured,Number of People Who Exercise frequently,Number of people who don't exercise frequently,Number of people who eat produce frequently,Number of people who don't eat produce frequently,Number of people who feel recognize by their community ,Number of people that don't feel community recognition,Number of people who Feel active and productive,Number of people that aren't active and productive,Number of people who are Worried about money,Number of people who aren't worried about money
Nevada,NV,"3,080,156",46.43,"1,293,666","1,632,483","154,008","1,201,261","1,293,666","585,230","1,016,451","1,201,261","677,634","184,809",10,"800,841","1,016,451","1,262,864",11.2,"344,977","2,735,179","1,604,761","1,475,395","1,801,891","1,278,265","582,149","2,498,007","2,097,586","982,570","1,059,574","2,020,582"
New Hampshire,NH,"1,359,711",70.16,"571,079","761,438","27,194","543,884","584,676","231,151","421,510","530,287","339,928","67,986",11,"312,734","353,525","693,453",7.6,"103,338","1,256,373","773,676","586,035","857,978","501,733","262,424","1,097,287","917,805","441,906","493,575","866,136"
New Jersey,NJ,"8,882,190",35,"3,019,945","5,418,136","444,110","2,931,123","4,263,451","1,687,616","2,487,013","3,375,232","2,398,191","621,753",4,"2,842,301","2,931,123","3,197,588",9.3,"826,044","8,056,146","4,467,742","4,414,448","5,116,141","3,766,049","1,598,794","7,283,396","6,208,651","2,673,539","3,028,827","5,853,363"
New Mexico,NM,"2,096,829",41.32,"733,890","1,237,129","125,810","712,922","1,006,478","377,429","670,985","775,827","524,207","125,810",-6,"796,795","545,176","754,858",9,"188,715","1,908,114","1,274,872","821,957","1,283,259","813,570","467,593","1,629,236","1,467,780","629,049","759,052","1,337,777"
New York,NY,"19,453,561",31.24,"5,836,068","12,255,743","1,361,749","5,641,533","10,115,852","3,696,177","5,252,461","6,808,746","6,030,604","1,361,749",-1,"6,030,604","5,641,533","7,781,424",7,"1,361,749","18,091,812","9,882,409","9,571,152","11,146,890","8,306,671","3,890,712","15,562,849","12,917,165","6,536,396","6,944,921","12,508,640"
North Carolina,NC,"10,488,084",47.13,"4,195,234","5,663,565","629,285","4,090,353","4,614,757","1,782,974","3,775,710","3,775,710","2,202,498","734,166",8,"4,824,519","3,251,306","2,412,259",13.6,"1,426,379","9,061,705","5,558,685","4,929,399","6,135,529","4,352,555","2,076,641","8,411,443","7,100,433","3,387,651","3,639,365","6,848,719"
North Dakota,ND,"762,062",80.27,"434,375","297,204","30,482","426,755","213,377","121,930","297,204","320,066","114,309","30,482",25,"304,825","236,239","220,998",6.9,"52,582","709,480","401,607","360,455","397,034","365,028","173,750","588,312","541,064","220,998","230,143","531,919"
Ohio,OH,"11,689,100",46.94,"5,260,095","5,844,550","584,455","4,909,422","4,792,531","1,987,147","4,091,185","4,441,858","2,454,711","701,346",7,"4,324,967","3,506,730","3,857,403",7.4,"864,993","10,824,107","5,809,483","5,879,617","6,627,720","5,061,380","2,022,214","9,666,886","7,644,671","4,044,429","4,161,320","7,527,780"
Oklahoma,OK,"3,956,971",85.66,"2,097,195","1,582,788","276,988","1,938,916","1,384,940","633,115","1,661,928","1,384,940","672,685","237,418",10,"1,780,637","1,187,091","989,243",16.3,"644,986","3,311,985","2,105,109","1,851,862","2,120,936","1,836,035","728,083","3,228,888","2,532,461","1,424,510","1,388,897","2,568,074"
Oregon,OR,"4,217,737",39.77,"1,518,385","2,488,465","210,887","1,518,385","2,066,691","632,661","1,180,966","1,518,385","1,307,498","210,887",3,"1,180,966","1,054,434","2,024,514",9.1,"383,814","3,833,923","2,383,021","1,834,716","2,572,820","1,644,917","847,765","3,369,972","2,876,497","1,341,240","1,429,813","2,787,924"
