,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at
25857,02/15/2021,MP,134,0,2,0,02/16/2021 02:53:06 PM
25858,06/17/2021,TX,2972237,1767,51177,5,06/19/2021 12:00:00 AM
25859,12/18/2020,NYC,387703,3569,24509,40,12/16/2020 12:00:00 AM
25860,02/02/2020,AS,0,0,0,0,03/26/2020 04:22:39 PM
25861,04/13/2020,HI,513,6,9,0,04/12/2020 12:22:39 PM
25862,03/01/2020,HI,0,0,0,0,03/26/2020 04:22:39 PM
25863,07/09/2020,KS,17618,0,282,0,07/10/2020 03:35:06 PM
25864,04/18/2020,PR,1118,50,60,2,04/18/2020 04:22:39 PM
25865,06/14/2020,NYC,212755,427,22663,26,06/12/2020 12:00:00 AM
25866,07/30/2020,NYC,228230,333,23258,13,07/28/2020 12:00:00 AM
25867,03/16/2020,MP,0,0,0,0,03/26/2020 04:22:39 PM
25868,02/26/2020,PW,0,0,0,0,03/26/2020 04:22:39 PM
25869,06/13/2020,GA,56017,1043,2446,28,06/14/2020 10:19:43 AM
25870,04/14/2020,OK,2903,108,131,7,04/15/2020 12:00:00 AM
25871,08/31/2020,KS,42612,1564,446,3,09/01/2020 02:09:34 PM
25872,05/17/2021,CO,532389,689,6450,0,05/18/2021 02:26:44 PM
25873,05/02/2021,PR,133047,469,2315,2,05/03/2021 01:58:14 PM
25874,09/16/2020,UT,60769,764,437,-1,09/17/2020 01:45:45 PM
25875,12/26/2020,PW,0,0,0,0,12/27/2020 02:44:47 PM
25876,02/21/2021,AR,315514,284,5357,9,02/22/2021 02:53:38 PM
25877,01/11/2021,TX,1969240,14834,34799,328,01/13/2021 12:00:00 AM
25878,05/04/2020,AR,3469,38,80,4,05/05/2020 05:25:08 PM
25879,04/23/2021,AS,0,0,0,0,04/24/2021 02:22:34 PM
25880,01/06/2021,GA,713840,7686,11165,93,01/07/2021 02:56:59 PM
25881,11/02/2020,FL,801371,4569,16834,45,11/03/2020 02:57:05 PM
25882,12/18/2020,AK,42334,487,266,1,12/18/2020 12:00:00 AM
25883,05/07/2020,MA,73721,1696,5147,132,05/09/2020 12:00:00 AM
25884,01/21/2021,FL,1584442,12602,24739,161,01/22/2021 02:51:49 PM
25885,06/11/2021,OK,454598,204,7330,1,06/12/2021 02:13:34 PM
25886,02/26/2021,AK,56052,102,322,0,02/26/2021 12:00:00 AM
25887,11/13/2020,FL,858585,6760,17445,73,11/14/2020 02:44:40 PM
25888,02/10/2021,NYC,659574,5607,28008,86,02/08/2021 12:00:00 AM
25889,06/23/2020,UT,18660,525,163,3,06/24/2020 03:03:27 PM
