,Data As Of,Group,State,Age Group
36966,07/07/2021,By Month,Nevada,30-39 years
36967,07/07/2021,By Month,Nevada,35-44 years
36968,07/07/2021,By Month,Nevada,40-49 years
36969,07/07/2021,By Month,Nevada,45-54 years
36970,07/07/2021,By Month,Nevada,50-64 years
36971,07/07/2021,By Month,Nevada,55-64 years
36972,07/07/2021,By Month,Nevada,65-74 years
36973,07/07/2021,By Month,Nevada,75-84 years
36974,07/07/2021,By Month,Nevada,85 years and over
36975,07/07/2021,By Month,Nevada,All Ages
36976,07/07/2021,By Month,Nevada,Under 1 year
36977,07/07/2021,By Month,Nevada,0-17 years
36978,07/07/2021,By Month,Nevada,1-4 years
36979,07/07/2021,By Month,Nevada,5-14 years
36980,07/07/2021,By Month,Nevada,15-24 years
36981,07/07/2021,By Month,Nevada,18-29 years
36982,07/07/2021,By Month,Nevada,25-34 years
36983,07/07/2021,By Month,Nevada,30-39 years
36984,07/07/2021,By Month,Nevada,35-44 years
36985,07/07/2021,By Month,Nevada,40-49 years
36986,07/07/2021,By Month,Nevada,45-54 years
36987,07/07/2021,By Month,Nevada,50-64 years
36988,07/07/2021,By Month,Nevada,55-64 years
36989,07/07/2021,By Month,Nevada,65-74 years
36990,07/07/2021,By Month,Nevada,75-84 years
36991,07/07/2021,By Month,Nevada,85 years and over
36992,07/07/2021,By Month,Nevada,All Ages
36993,07/07/2021,By Month,Nevada,Under 1 year
36994,07/07/2021,By Month,Nevada,0-17 years
36995,07/07/2021,By Month,Nevada,1-4 years
36996,07/07/2021,By Month,Nevada,5-14 years
36997,07/07/2021,By Month,Nevada,15-24 years
36998,07/07/2021,By Month,Nevada,18-29 years
36999,07/07/2021,By Month,Nevada,25-34 years
37000,07/07/2021,By Month,Nevada,30-39 years
37001,07/07/2021,By Month,Nevada,35-44 years
37002,07/07/2021,By Month,Nevada,40-49 years
37003,07/07/2021,By Month,Nevada,45-54 years
37004,07/07/2021,By Month,Nevada,50-64 years
37005,07/07/2021,By Month,Nevada,55-64 years
37006,07/07/2021,By Month,Nevada,65-74 years
37007,07/07/2021,By Month,Nevada,75-84 years
37008,07/07/2021,By Month,Nevada,85 years and over
37009,07/07/2021,By Month,Nevada,All Ages
37010,07/07/2021,By Month,Nevada,Under 1 year
37011,07/07/2021,By Month,Nevada,0-17 years
37012,07/07/2021,By Month,Nevada,1-4 years
37013,07/07/2021,By Month,Nevada,5-14 years
37014,07/07/2021,By Month,Nevada,15-24 years
37015,07/07/2021,By Month,Nevada,18-29 years
37016,07/07/2021,By Month,Nevada,25-34 years
37017,07/07/2021,By Month,Nevada,30-39 years
37018,07/07/2021,By Month,Nevada,35-44 years
37019,07/07/2021,By Month,Nevada,40-49 years
37020,07/07/2021,By Month,Nevada,45-54 years
37021,07/07/2021,By Month,Nevada,50-64 years
37022,07/07/2021,By Month,Nevada,55-64 years
37023,07/07/2021,By Month,Nevada,65-74 years
37024,07/07/2021,By Month,Nevada,75-84 years
37025,07/07/2021,By Month,Nevada,85 years and over
37026,07/07/2021,By Month,Nevada,All Ages
37027,07/07/2021,By Month,Nevada,Under 1 year
37028,07/07/2021,By Month,Nevada,0-17 years
37029,07/07/2021,By Month,Nevada,1-4 years
37030,07/07/2021,By Month,Nevada,5-14 years
37031,07/07/2021,By Month,Nevada,15-24 years
37032,07/07/2021,By Month,Nevada,18-29 years
37033,07/07/2021,By Month,Nevada,25-34 years
37034,07/07/2021,By Month,Nevada,30-39 years
37035,07/07/2021,By Month,Nevada,35-44 years
37036,07/07/2021,By Month,Nevada,40-49 years
37037,07/07/2021,By Month,Nevada,45-54 years
37038,07/07/2021,By Month,Nevada,50-64 years
37039,07/07/2021,By Month,Nevada,55-64 years
37040,07/07/2021,By Month,Nevada,65-74 years
37041,07/07/2021,By Month,Nevada,75-84 years
37042,07/07/2021,By Month,Nevada,85 years and over
37043,07/07/2021,By Month,Nevada,All Ages
37044,07/07/2021,By Month,Nevada,Under 1 year
37045,07/07/2021,By Month,Nevada,0-17 years
37046,07/07/2021,By Month,Nevada,1-4 years
37047,07/07/2021,By Month,Nevada,5-14 years
37048,07/07/2021,By Month,Nevada,15-24 years
37049,07/07/2021,By Month,Nevada,18-29 years
37050,07/07/2021,By Month,Nevada,25-34 years
37051,07/07/2021,By Month,Nevada,30-39 years
37052,07/07/2021,By Month,Nevada,35-44 years
37053,07/07/2021,By Month,Nevada,40-49 years
37054,07/07/2021,By Month,Nevada,45-54 years
37055,07/07/2021,By Month,Nevada,50-64 years
37056,07/07/2021,By Month,Nevada,55-64 years
37057,07/07/2021,By Month,Nevada,65-74 years
37058,07/07/2021,By Month,Nevada,75-84 years
37059,07/07/2021,By Month,Nevada,85 years and over
37060,07/07/2021,By Month,Nevada,All Ages
37061,07/07/2021,By Month,Nevada,Under 1 year
37062,07/07/2021,By Month,Nevada,0-17 years
37063,07/07/2021,By Month,Nevada,1-4 years
37064,07/07/2021,By Month,Nevada,5-14 years
37065,07/07/2021,By Month,Nevada,15-24 years
37066,07/07/2021,By Month,Nevada,18-29 years
37067,07/07/2021,By Month,Nevada,25-34 years
37068,07/07/2021,By Month,Nevada,30-39 years
37069,07/07/2021,By Month,Nevada,35-44 years
37070,07/07/2021,By Month,Nevada,40-49 years
37071,07/07/2021,By Month,Nevada,45-54 years
37072,07/07/2021,By Month,Nevada,50-64 years
37073,07/07/2021,By Month,Nevada,55-64 years
37074,07/07/2021,By Month,Nevada,65-74 years
37075,07/07/2021,By Month,Nevada,75-84 years
37076,07/07/2021,By Month,Nevada,85 years and over
37077,07/07/2021,By Month,Nevada,All Ages
37078,07/07/2021,By Month,Nevada,Under 1 year
37079,07/07/2021,By Month,Nevada,0-17 years
37080,07/07/2021,By Month,Nevada,1-4 years
37081,07/07/2021,By Month,Nevada,5-14 years
37082,07/07/2021,By Month,Nevada,15-24 years
37083,07/07/2021,By Month,Nevada,18-29 years
37084,07/07/2021,By Month,Nevada,25-34 years
37085,07/07/2021,By Month,Nevada,30-39 years
37086,07/07/2021,By Month,Nevada,35-44 years
37087,07/07/2021,By Month,Nevada,40-49 years
37088,07/07/2021,By Month,Nevada,45-54 years
37089,07/07/2021,By Month,Nevada,50-64 years
37090,07/07/2021,By Month,Nevada,55-64 years
37091,07/07/2021,By Month,Nevada,65-74 years
37092,07/07/2021,By Month,Nevada,75-84 years
37093,07/07/2021,By Month,Nevada,85 years and over
37094,07/07/2021,By Month,Nevada,All Ages
37095,07/07/2021,By Month,Nevada,Under 1 year
37096,07/07/2021,By Month,Nevada,0-17 years
37097,07/07/2021,By Month,Nevada,1-4 years
37098,07/07/2021,By Month,Nevada,5-14 years
37099,07/07/2021,By Month,Nevada,15-24 years
37100,07/07/2021,By Month,Nevada,18-29 years
37101,07/07/2021,By Month,Nevada,25-34 years
37102,07/07/2021,By Month,Nevada,30-39 years
37103,07/07/2021,By Month,Nevada,35-44 years
37104,07/07/2021,By Month,Nevada,40-49 years
37105,07/07/2021,By Month,Nevada,45-54 years
37106,07/07/2021,By Month,Nevada,50-64 years
37107,07/07/2021,By Month,Nevada,55-64 years
37108,07/07/2021,By Month,Nevada,65-74 years
37109,07/07/2021,By Month,Nevada,75-84 years
37110,07/07/2021,By Month,Nevada,85 years and over
37111,07/07/2021,By Month,Nevada,All Ages
37112,07/07/2021,By Month,Nevada,Under 1 year
37113,07/07/2021,By Month,Nevada,0-17 years
37114,07/07/2021,By Month,Nevada,1-4 years
37115,07/07/2021,By Month,Nevada,5-14 years
37116,07/07/2021,By Month,Nevada,15-24 years
37117,07/07/2021,By Month,Nevada,18-29 years
37118,07/07/2021,By Month,Nevada,25-34 years
37119,07/07/2021,By Month,Nevada,30-39 years
37120,07/07/2021,By Month,Nevada,35-44 years
37121,07/07/2021,By Month,Nevada,40-49 years
37122,07/07/2021,By Month,Nevada,45-54 years
37123,07/07/2021,By Month,Nevada,50-64 years
37124,07/07/2021,By Month,Nevada,55-64 years
37125,07/07/2021,By Month,Nevada,65-74 years
37126,07/07/2021,By Month,Nevada,75-84 years
37127,07/07/2021,By Month,Nevada,85 years and over
37128,07/07/2021,By Month,Nevada,All Ages
37129,07/07/2021,By Month,Nevada,Under 1 year
37130,07/07/2021,By Month,Nevada,0-17 years
37131,07/07/2021,By Month,Nevada,1-4 years
37132,07/07/2021,By Month,Nevada,5-14 years
37133,07/07/2021,By Month,Nevada,15-24 years
37134,07/07/2021,By Month,Nevada,18-29 years
37135,07/07/2021,By Month,Nevada,25-34 years
37136,07/07/2021,By Month,Nevada,30-39 years
37137,07/07/2021,By Month,Nevada,35-44 years
37138,07/07/2021,By Month,Nevada,40-49 years
37139,07/07/2021,By Month,Nevada,45-54 years
37140,07/07/2021,By Month,Nevada,50-64 years
37141,07/07/2021,By Month,Nevada,55-64 years
37142,07/07/2021,By Month,Nevada,65-74 years
37143,07/07/2021,By Month,Nevada,75-84 years
37144,07/07/2021,By Month,Nevada,85 years and over
37145,07/07/2021,By Month,Nevada,All Ages
37146,07/07/2021,By Month,Nevada,Under 1 year
37147,07/07/2021,By Month,Nevada,0-17 years
37148,07/07/2021,By Month,Nevada,1-4 years
37149,07/07/2021,By Month,Nevada,5-14 years
37150,07/07/2021,By Month,Nevada,15-24 years
37151,07/07/2021,By Month,Nevada,18-29 years
37152,07/07/2021,By Month,Nevada,25-34 years
37153,07/07/2021,By Month,Nevada,30-39 years
37154,07/07/2021,By Month,Nevada,35-44 years
37155,07/07/2021,By Month,Nevada,40-49 years
37156,07/07/2021,By Month,Nevada,45-54 years
37157,07/07/2021,By Month,Nevada,50-64 years
37158,07/07/2021,By Month,Nevada,55-64 years
37159,07/07/2021,By Month,Nevada,65-74 years
37160,07/07/2021,By Month,Nevada,75-84 years
37161,07/07/2021,By Month,Nevada,85 years and over
37162,07/07/2021,By Month,Nevada,All Ages
37163,07/07/2021,By Month,Nevada,Under 1 year
37164,07/07/2021,By Month,Nevada,0-17 years
37165,07/07/2021,By Month,Nevada,1-4 years
37166,07/07/2021,By Month,Nevada,5-14 years
37167,07/07/2021,By Month,Nevada,15-24 years
37168,07/07/2021,By Month,Nevada,18-29 years
37169,07/07/2021,By Month,Nevada,25-34 years
37170,07/07/2021,By Month,Nevada,30-39 years
37171,07/07/2021,By Month,Nevada,35-44 years
37172,07/07/2021,By Month,Nevada,40-49 years
37173,07/07/2021,By Month,Nevada,45-54 years
37174,07/07/2021,By Month,Nevada,50-64 years
37175,07/07/2021,By Month,Nevada,55-64 years
37176,07/07/2021,By Month,Nevada,65-74 years
37177,07/07/2021,By Month,Nevada,75-84 years
37178,07/07/2021,By Month,Nevada,85 years and over
37179,07/07/2021,By Month,Nevada,All Ages
37180,07/07/2021,By Month,Nevada,Under 1 year
37181,07/07/2021,By Month,Nevada,0-17 years
37182,07/07/2021,By Month,Nevada,1-4 years
37183,07/07/2021,By Month,Nevada,5-14 years
37184,07/07/2021,By Month,Nevada,15-24 years
37185,07/07/2021,By Month,Nevada,18-29 years
37186,07/07/2021,By Month,Nevada,25-34 years
37187,07/07/2021,By Month,Nevada,30-39 years
37188,07/07/2021,By Month,Nevada,35-44 years
37189,07/07/2021,By Month,Nevada,40-49 years
37190,07/07/2021,By Month,Nevada,45-54 years
37191,07/07/2021,By Month,Nevada,50-64 years
37192,07/07/2021,By Month,Nevada,55-64 years
37193,07/07/2021,By Month,Nevada,65-74 years
37194,07/07/2021,By Month,Nevada,75-84 years
37195,07/07/2021,By Month,Nevada,85 years and over
37196,07/07/2021,By Month,Nevada,All Ages
37197,07/07/2021,By Month,Nevada,Under 1 year
37198,07/07/2021,By Month,Nevada,0-17 years
37199,07/07/2021,By Month,Nevada,1-4 years
37200,07/07/2021,By Month,Nevada,5-14 years
37201,07/07/2021,By Month,Nevada,15-24 years
37202,07/07/2021,By Month,Nevada,18-29 years
37203,07/07/2021,By Month,Nevada,25-34 years
37204,07/07/2021,By Month,Nevada,30-39 years
37205,07/07/2021,By Month,Nevada,35-44 years
37206,07/07/2021,By Month,Nevada,40-49 years
37207,07/07/2021,By Month,Nevada,45-54 years
37208,07/07/2021,By Month,Nevada,50-64 years
37209,07/07/2021,By Month,Nevada,55-64 years
37210,07/07/2021,By Month,Nevada,65-74 years
37211,07/07/2021,By Month,Nevada,75-84 years
37212,07/07/2021,By Month,Nevada,85 years and over
37213,07/07/2021,By Month,Nevada,All Ages
37214,07/07/2021,By Month,Nevada,Under 1 year
37215,07/07/2021,By Month,Nevada,0-17 years
37216,07/07/2021,By Month,Nevada,1-4 years
37217,07/07/2021,By Month,Nevada,5-14 years
37218,07/07/2021,By Month,Nevada,15-24 years
37219,07/07/2021,By Month,Nevada,18-29 years
37220,07/07/2021,By Month,Nevada,25-34 years
37221,07/07/2021,By Month,Nevada,30-39 years
37222,07/07/2021,By Month,Nevada,35-44 years
37223,07/07/2021,By Month,Nevada,40-49 years
37224,07/07/2021,By Month,Nevada,45-54 years
37225,07/07/2021,By Month,Nevada,50-64 years
37226,07/07/2021,By Month,Nevada,55-64 years
37227,07/07/2021,By Month,Nevada,65-74 years
37228,07/07/2021,By Month,Nevada,75-84 years
37229,07/07/2021,By Month,Nevada,85 years and over
37230,07/07/2021,By Month,Nevada,All Ages
37231,07/07/2021,By Month,Nevada,Under 1 year
37232,07/07/2021,By Month,Nevada,0-17 years
37233,07/07/2021,By Month,Nevada,1-4 years
37234,07/07/2021,By Month,Nevada,5-14 years
37235,07/07/2021,By Month,Nevada,15-24 years
37236,07/07/2021,By Month,Nevada,18-29 years
37237,07/07/2021,By Month,Nevada,25-34 years
37238,07/07/2021,By Month,Nevada,30-39 years
37239,07/07/2021,By Month,Nevada,35-44 years
37240,07/07/2021,By Month,Nevada,40-49 years
37241,07/07/2021,By Month,Nevada,45-54 years
37242,07/07/2021,By Month,Nevada,50-64 years
37243,07/07/2021,By Month,Nevada,55-64 years
37244,07/07/2021,By Month,Nevada,65-74 years
37245,07/07/2021,By Month,Nevada,75-84 years
37246,07/07/2021,By Month,Nevada,85 years and over
37247,07/07/2021,By Month,Nevada,All Ages
37248,07/07/2021,By Month,Nevada,Under 1 year
37249,07/07/2021,By Month,Nevada,0-17 years
37250,07/07/2021,By Month,Nevada,1-4 years
37251,07/07/2021,By Month,Nevada,5-14 years
37252,07/07/2021,By Month,Nevada,15-24 years
37253,07/07/2021,By Month,Nevada,18-29 years
37254,07/07/2021,By Month,Nevada,25-34 years
37255,07/07/2021,By Month,Nevada,30-39 years
37256,07/07/2021,By Month,Nevada,35-44 years
37257,07/07/2021,By Month,Nevada,40-49 years
37258,07/07/2021,By Month,Nevada,45-54 years
37259,07/07/2021,By Month,Nevada,50-64 years
37260,07/07/2021,By Month,Nevada,55-64 years
37261,07/07/2021,By Month,Nevada,65-74 years
37262,07/07/2021,By Month,Nevada,75-84 years
37263,07/07/2021,By Month,Nevada,85 years and over
37264,07/07/2021,By Month,Nevada,All Ages
37265,07/07/2021,By Month,Nevada,Under 1 year
37266,07/07/2021,By Month,Nevada,0-17 years
37267,07/07/2021,By Month,Nevada,1-4 years
37268,07/07/2021,By Month,Nevada,5-14 years
37269,07/07/2021,By Month,Nevada,15-24 years
37270,07/07/2021,By Month,Nevada,18-29 years
37271,07/07/2021,By Month,Nevada,25-34 years
37272,07/07/2021,By Month,Nevada,30-39 years
37273,07/07/2021,By Month,Nevada,35-44 years
37274,07/07/2021,By Month,Nevada,40-49 years
37275,07/07/2021,By Month,Nevada,45-54 years
37276,07/07/2021,By Month,Nevada,50-64 years
37277,07/07/2021,By Month,Nevada,55-64 years
37278,07/07/2021,By Month,Nevada,65-74 years
37279,07/07/2021,By Month,Nevada,75-84 years
37280,07/07/2021,By Month,Nevada,85 years and over
37281,07/07/2021,By Month,Nevada,All Ages
37282,07/07/2021,By Month,Nevada,Under 1 year
37283,07/07/2021,By Month,Nevada,0-17 years
37284,07/07/2021,By Month,Nevada,1-4 years
37285,07/07/2021,By Month,Nevada,5-14 years
37286,07/07/2021,By Month,Nevada,15-24 years
37287,07/07/2021,By Month,Nevada,18-29 years
37288,07/07/2021,By Month,Nevada,25-34 years
37289,07/07/2021,By Month,Nevada,30-39 years
37290,07/07/2021,By Month,Nevada,35-44 years
37291,07/07/2021,By Month,Nevada,40-49 years
37292,07/07/2021,By Month,Nevada,45-54 years
37293,07/07/2021,By Month,Nevada,50-64 years
37294,07/07/2021,By Month,Nevada,55-64 years
37295,07/07/2021,By Month,Nevada,65-74 years
37296,07/07/2021,By Month,Nevada,75-84 years
37297,07/07/2021,By Month,Nevada,85 years and over
37298,07/07/2021,By Month,Nevada,All Ages
37299,07/07/2021,By Month,Nevada,Under 1 year
37300,07/07/2021,By Month,Nevada,0-17 years
37301,07/07/2021,By Month,Nevada,1-4 years
37302,07/07/2021,By Month,Nevada,5-14 years
37303,07/07/2021,By Month,Nevada,15-24 years
37304,07/07/2021,By Month,Nevada,18-29 years
37305,07/07/2021,By Month,Nevada,25-34 years
37306,07/07/2021,By Month,Nevada,30-39 years
37307,07/07/2021,By Month,Nevada,35-44 years
37308,07/07/2021,By Month,Nevada,40-49 years
37309,07/07/2021,By Month,Nevada,45-54 years
37310,07/07/2021,By Month,Nevada,50-64 years
37311,07/07/2021,By Month,Nevada,55-64 years
37312,07/07/2021,By Month,Nevada,65-74 years
37313,07/07/2021,By Month,Nevada,75-84 years
37314,07/07/2021,By Month,Nevada,85 years and over
37315,07/07/2021,By Month,Nevada,All Ages
37316,07/07/2021,By Month,Nevada,Under 1 year
37317,07/07/2021,By Month,Nevada,0-17 years
37318,07/07/2021,By Month,Nevada,1-4 years
37319,07/07/2021,By Month,Nevada,5-14 years
37320,07/07/2021,By Month,Nevada,15-24 years
37321,07/07/2021,By Month,Nevada,18-29 years
37322,07/07/2021,By Month,Nevada,25-34 years
37323,07/07/2021,By Month,Nevada,30-39 years
37324,07/07/2021,By Month,Nevada,35-44 years
37325,07/07/2021,By Month,Nevada,40-49 years
37326,07/07/2021,By Month,Nevada,45-54 years
37327,07/07/2021,By Month,Nevada,50-64 years
37328,07/07/2021,By Month,Nevada,55-64 years
37329,07/07/2021,By Month,Nevada,65-74 years
37330,07/07/2021,By Month,Nevada,75-84 years
37331,07/07/2021,By Month,Nevada,85 years and over
37332,07/07/2021,By Month,New Hampshire,All Ages
37333,07/07/2021,By Month,New Hampshire,Under 1 year
37334,07/07/2021,By Month,New Hampshire,0-17 years
37335,07/07/2021,By Month,New Hampshire,1-4 years
37336,07/07/2021,By Month,New Hampshire,5-14 years
37337,07/07/2021,By Month,New Hampshire,15-24 years
37338,07/07/2021,By Month,New Hampshire,18-29 years
37339,07/07/2021,By Month,New Hampshire,25-34 years
37340,07/07/2021,By Month,New Hampshire,30-39 years
37341,07/07/2021,By Month,New Hampshire,35-44 years
37342,07/07/2021,By Month,New Hampshire,40-49 years
37343,07/07/2021,By Month,New Hampshire,45-54 years
37344,07/07/2021,By Month,New Hampshire,50-64 years
37345,07/07/2021,By Month,New Hampshire,55-64 years
37346,07/07/2021,By Month,New Hampshire,65-74 years
37347,07/07/2021,By Month,New Hampshire,75-84 years
37348,07/07/2021,By Month,New Hampshire,85 years and over
37349,07/07/2021,By Month,New Hampshire,All Ages
37350,07/07/2021,By Month,New Hampshire,Under 1 year
37351,07/07/2021,By Month,New Hampshire,0-17 years
37352,07/07/2021,By Month,New Hampshire,1-4 years
37353,07/07/2021,By Month,New Hampshire,5-14 years
37354,07/07/2021,By Month,New Hampshire,15-24 years
37355,07/07/2021,By Month,New Hampshire,18-29 years
37356,07/07/2021,By Month,New Hampshire,25-34 years
37357,07/07/2021,By Month,New Hampshire,30-39 years
37358,07/07/2021,By Month,New Hampshire,35-44 years
37359,07/07/2021,By Month,New Hampshire,40-49 years
37360,07/07/2021,By Month,New Hampshire,45-54 years
37361,07/07/2021,By Month,New Hampshire,50-64 years
37362,07/07/2021,By Month,New Hampshire,55-64 years
37363,07/07/2021,By Month,New Hampshire,65-74 years
37364,07/07/2021,By Month,New Hampshire,75-84 years
37365,07/07/2021,By Month,New Hampshire,85 years and over
37366,07/07/2021,By Month,New Hampshire,All Ages
37367,07/07/2021,By Month,New Hampshire,Under 1 year
37368,07/07/2021,By Month,New Hampshire,0-17 years
37369,07/07/2021,By Month,New Hampshire,1-4 years
37370,07/07/2021,By Month,New Hampshire,5-14 years
37371,07/07/2021,By Month,New Hampshire,15-24 years
37372,07/07/2021,By Month,New Hampshire,18-29 years
37373,07/07/2021,By Month,New Hampshire,25-34 years
37374,07/07/2021,By Month,New Hampshire,30-39 years
37375,07/07/2021,By Month,New Hampshire,35-44 years
37376,07/07/2021,By Month,New Hampshire,40-49 years
37377,07/07/2021,By Month,New Hampshire,45-54 years
37378,07/07/2021,By Month,New Hampshire,50-64 years
37379,07/07/2021,By Month,New Hampshire,55-64 years
37380,07/07/2021,By Month,New Hampshire,65-74 years
37381,07/07/2021,By Month,New Hampshire,75-84 years
37382,07/07/2021,By Month,New Hampshire,85 years and over
37383,07/07/2021,By Month,New Hampshire,All Ages
37384,07/07/2021,By Month,New Hampshire,Under 1 year
37385,07/07/2021,By Month,New Hampshire,0-17 years
37386,07/07/2021,By Month,New Hampshire,1-4 years
37387,07/07/2021,By Month,New Hampshire,5-14 years
37388,07/07/2021,By Month,New Hampshire,15-24 years
37389,07/07/2021,By Month,New Hampshire,18-29 years
37390,07/07/2021,By Month,New Hampshire,25-34 years
37391,07/07/2021,By Month,New Hampshire,30-39 years
37392,07/07/2021,By Month,New Hampshire,35-44 years
37393,07/07/2021,By Month,New Hampshire,40-49 years
37394,07/07/2021,By Month,New Hampshire,45-54 years
37395,07/07/2021,By Month,New Hampshire,50-64 years
37396,07/07/2021,By Month,New Hampshire,55-64 years
37397,07/07/2021,By Month,New Hampshire,65-74 years
37398,07/07/2021,By Month,New Hampshire,75-84 years
37399,07/07/2021,By Month,New Hampshire,85 years and over
37400,07/07/2021,By Month,New Hampshire,All Ages
37401,07/07/2021,By Month,New Hampshire,Under 1 year
37402,07/07/2021,By Month,New Hampshire,0-17 years
37403,07/07/2021,By Month,New Hampshire,1-4 years
37404,07/07/2021,By Month,New Hampshire,5-14 years
37405,07/07/2021,By Month,New Hampshire,15-24 years
37406,07/07/2021,By Month,New Hampshire,18-29 years
37407,07/07/2021,By Month,New Hampshire,25-34 years
37408,07/07/2021,By Month,New Hampshire,30-39 years
37409,07/07/2021,By Month,New Hampshire,35-44 years
37410,07/07/2021,By Month,New Hampshire,40-49 years
37411,07/07/2021,By Month,New Hampshire,45-54 years
37412,07/07/2021,By Month,New Hampshire,50-64 years
37413,07/07/2021,By Month,New Hampshire,55-64 years
37414,07/07/2021,By Month,New Hampshire,65-74 years
37415,07/07/2021,By Month,New Hampshire,75-84 years
37416,07/07/2021,By Month,New Hampshire,85 years and over
37417,07/07/2021,By Month,New Hampshire,All Ages
37418,07/07/2021,By Month,New Hampshire,Under 1 year
37419,07/07/2021,By Month,New Hampshire,0-17 years
37420,07/07/2021,By Month,New Hampshire,1-4 years
37421,07/07/2021,By Month,New Hampshire,5-14 years
37422,07/07/2021,By Month,New Hampshire,15-24 years
37423,07/07/2021,By Month,New Hampshire,18-29 years
37424,07/07/2021,By Month,New Hampshire,25-34 years
37425,07/07/2021,By Month,New Hampshire,30-39 years
37426,07/07/2021,By Month,New Hampshire,35-44 years
37427,07/07/2021,By Month,New Hampshire,40-49 years
37428,07/07/2021,By Month,New Hampshire,45-54 years
37429,07/07/2021,By Month,New Hampshire,50-64 years
37430,07/07/2021,By Month,New Hampshire,55-64 years
37431,07/07/2021,By Month,New Hampshire,65-74 years
37432,07/07/2021,By Month,New Hampshire,75-84 years
37433,07/07/2021,By Month,New Hampshire,85 years and over
37434,07/07/2021,By Month,New Hampshire,All Ages
37435,07/07/2021,By Month,New Hampshire,Under 1 year
37436,07/07/2021,By Month,New Hampshire,0-17 years
37437,07/07/2021,By Month,New Hampshire,1-4 years
37438,07/07/2021,By Month,New Hampshire,5-14 years
37439,07/07/2021,By Month,New Hampshire,15-24 years
37440,07/07/2021,By Month,New Hampshire,18-29 years
37441,07/07/2021,By Month,New Hampshire,25-34 years
37442,07/07/2021,By Month,New Hampshire,30-39 years
37443,07/07/2021,By Month,New Hampshire,35-44 years
37444,07/07/2021,By Month,New Hampshire,40-49 years
37445,07/07/2021,By Month,New Hampshire,45-54 years
37446,07/07/2021,By Month,New Hampshire,50-64 years
37447,07/07/2021,By Month,New Hampshire,55-64 years
37448,07/07/2021,By Month,New Hampshire,65-74 years
37449,07/07/2021,By Month,New Hampshire,75-84 years
37450,07/07/2021,By Month,New Hampshire,85 years and over
37451,07/07/2021,By Month,New Hampshire,All Ages
37452,07/07/2021,By Month,New Hampshire,Under 1 year
37453,07/07/2021,By Month,New Hampshire,0-17 years
37454,07/07/2021,By Month,New Hampshire,1-4 years
37455,07/07/2021,By Month,New Hampshire,5-14 years
37456,07/07/2021,By Month,New Hampshire,15-24 years
37457,07/07/2021,By Month,New Hampshire,18-29 years
37458,07/07/2021,By Month,New Hampshire,25-34 years
37459,07/07/2021,By Month,New Hampshire,30-39 years
37460,07/07/2021,By Month,New Hampshire,35-44 years
37461,07/07/2021,By Month,New Hampshire,40-49 years
37462,07/07/2021,By Month,New Hampshire,45-54 years
37463,07/07/2021,By Month,New Hampshire,50-64 years
37464,07/07/2021,By Month,New Hampshire,55-64 years
37465,07/07/2021,By Month,New Hampshire,65-74 years
37466,07/07/2021,By Month,New Hampshire,75-84 years
37467,07/07/2021,By Month,New Hampshire,85 years and over
37468,07/07/2021,By Month,New Hampshire,All Ages
37469,07/07/2021,By Month,New Hampshire,Under 1 year
37470,07/07/2021,By Month,New Hampshire,0-17 years
37471,07/07/2021,By Month,New Hampshire,1-4 years
37472,07/07/2021,By Month,New Hampshire,5-14 years
37473,07/07/2021,By Month,New Hampshire,15-24 years
37474,07/07/2021,By Month,New Hampshire,18-29 years
37475,07/07/2021,By Month,New Hampshire,25-34 years
37476,07/07/2021,By Month,New Hampshire,30-39 years
37477,07/07/2021,By Month,New Hampshire,35-44 years
37478,07/07/2021,By Month,New Hampshire,40-49 years
37479,07/07/2021,By Month,New Hampshire,45-54 years
37480,07/07/2021,By Month,New Hampshire,50-64 years
37481,07/07/2021,By Month,New Hampshire,55-64 years
37482,07/07/2021,By Month,New Hampshire,65-74 years
37483,07/07/2021,By Month,New Hampshire,75-84 years
37484,07/07/2021,By Month,New Hampshire,85 years and over
37485,07/07/2021,By Month,New Hampshire,All Ages
37486,07/07/2021,By Month,New Hampshire,Under 1 year
37487,07/07/2021,By Month,New Hampshire,0-17 years
37488,07/07/2021,By Month,New Hampshire,1-4 years
37489,07/07/2021,By Month,New Hampshire,5-14 years
37490,07/07/2021,By Month,New Hampshire,15-24 years
37491,07/07/2021,By Month,New Hampshire,18-29 years
37492,07/07/2021,By Month,New Hampshire,25-34 years
37493,07/07/2021,By Month,New Hampshire,30-39 years
37494,07/07/2021,By Month,New Hampshire,35-44 years
37495,07/07/2021,By Month,New Hampshire,40-49 years
37496,07/07/2021,By Month,New Hampshire,45-54 years
37497,07/07/2021,By Month,New Hampshire,50-64 years
37498,07/07/2021,By Month,New Hampshire,55-64 years
37499,07/07/2021,By Month,New Hampshire,65-74 years
37500,07/07/2021,By Month,New Hampshire,75-84 years
37501,07/07/2021,By Month,New Hampshire,85 years and over
37502,07/07/2021,By Month,New Hampshire,All Ages
37503,07/07/2021,By Month,New Hampshire,Under 1 year
37504,07/07/2021,By Month,New Hampshire,0-17 years
37505,07/07/2021,By Month,New Hampshire,1-4 years
37506,07/07/2021,By Month,New Hampshire,5-14 years
37507,07/07/2021,By Month,New Hampshire,15-24 years
37508,07/07/2021,By Month,New Hampshire,18-29 years
37509,07/07/2021,By Month,New Hampshire,25-34 years
37510,07/07/2021,By Month,New Hampshire,30-39 years
